18,3
15,12
3,11
16,7
3,10
4,10
12,8
1,8
5,7
18,1
4,5
16,14
20,19
6,1
6,7
11,3
2,15
12,14
8,14
7,6
10,5
6,5
17,1
17,16
2,14
5,3
14,9
13,7
9,7
14,7
20,2
3,13
8,4
19,4
10,16
12,11
2,6
15,1
2,3
14,9
2,15
6,8
2,13
14,4
6,8
4,1
12,19
13,17
11,4
4,9
12,6
9,11
16,9
16,10
3,5
12,3
8,14
20,13
20,6
19,16
6,13
14,19
9,14
18,11
12,18
11,1
3,7
12,18
19,1
6,7
12,11
11,19
1,18
16,18
18,7
14,1
10,20
11,10
19,14
13,1
17,9
8,2
8,1
13,20
1,2
4,13
17,11
11,12
19,13
11,19
9,18
15,7
18,12
28,30
28,35
39,22
36,35
38,26
38,37
23,28
23,28
25,35
23,25
21,37
24,27
29,33
21,26
22,35
35,32
24,22
30,24
37,32
24,40
34,21
38,40
26,34
38,40
30,29
31,24
21,23
28,37
30,26
25,26
34,21
27,25
21,25
23,36
22,37
30,36
33,37
40,38
37,32
30,28
28,24
25,24
21,24
24,33
28,34
36,30
21,25
39,37
33,34
39,36
26,29
32,21
31,33
40,29
26,24
36,29
38,36
22,25
26,21
34,37
24,31
36,25
33,38
34,29
34,39
27,26
28,39
26,30
30,27
21,26
35,27
22,26
33,25
29,25
36,22
24,27
29,33
22,26
26,35
22,34
25,32
21,33
36,28
23,22
25,22
37,35
36,26
26,35
37,24
23,24
35,26
29,37
34,35
34,35
21,28
32,40
39,29
36,29
33,24
38,22
27,33
39,24
25,30
28,40
34,40
40,38
35,22
30,39
35,34
27,34
36,29
39,23
32,37
30,24
24,21
33,35
32,22
21,34
36,23
33,40
26,39
33,26
28,36
29,37
24,25
23,38
37,33
36,33
22,35
28,23
39,31
28,33
29,32
21,34
36,40
39,27
26,22
22,23
29,30
30,40
21,30
28,27
34,24
29,25
30,27
34,25
34,38
37,21
28,24
21,38
35,33
21,36
21,33
24,35
27,39
34,38
38,27
25,36
31,28
30,23
39,30
36,39
27,30
29,33
38,24
24,28
22,35
21,37
25,38
25,35
28,27
32,30
37,27
21,22
25,38
29,34
36,32
33,31
31,27
25,28
21,37
35,26
34,23
38,21
32,31
31,40
39,27
37,30
24,30
22,40
30,25
29,30
36,33
34,23
28,23
22,25
24,38
21,26
36,32
21,31
29,38
39,38
23,38
40,32
26,33
38,40
25,33
21,34
31,37
26,34
22,36
29,39
38,35
34,32
23,32
34,22
34,40
26,40
25,37
23,30
29,32
25,32
31,34
28,21
22,28
35,34
34,22
28,38
29,33
39,22
31,25
30,28
30,22
29,36
30,32
30,35
32,22
29,37
39,36
31,24
32,23
27,33
28,34
36,35
34,24
37,25
23,33
23,40
35,25
30,37
30,23
31,37
39,34
34,30
40,32
22,21
29,34
26,32
21,35
32,25
30,26
21,32
21,25
36,26
25,21
23,29
38,25
39,31
29,25
32,22
24,26
38,29
40,33
21,36
37,22
28,29
22,33
25,28
37,40
35,21
28,32
33,35
39,37
30,32
29,38
39,38
31,24
33,35
36,30
30,29
23,38
22,28
33,32
21,29
22,27
36,34
39,27
38,28
35,27
35,21
23,26
38,31
37,40
25,36
35,23
22,29
39,37
39,23
33,30
36,26
22,32
39,26
24,23
24,33
33,28
21,37
24,39
31,28
21,22
26,29
33,40
39,30
37,33
38,30
33,29
21,25
31,33
36,34
23,39
31,34
21,35
30,27
35,38
35,21
39,28
21,36
32,22
28,23
30,31
34,22
34,38
29,32
27,32
21,31
31,34
28,27
40,23
29,36
33,32
35,40
26,35
36,34
22,21
28,35
26,38
32,30
35,31
30,23
25,23
22,28
33,25
32,31
21,22
27,34
28,22
40,38
36,38
38,36
37,32
37,33
35,26
24,34
38,33
35,40
39,28
23,37
22,37
22,31
21,39
32,37
29,27
26,29
30,28
27,30
28,22
25,31
29,27
40,23
32,40
23,29
30,21
32,34
35,22
31,23
25,21
35,22
36,35
33,38
31,23
28,38
33,31
37,39
31,34
27,35
33,22
29,22
38,22
33,31
22,27
21,24
33,37
34,25
34,26
21,38
23,24
29,21
38,31
29,32
24,36
27,29
38,36
35,29
39,37
27,36
27,29
26,37
29,27
26,33
21,30
23,34
36,24
24,25
34,38
30,33
29,23
25,28
23,38
29,33
23,34
39,22
31,28
36,26
30,39
27,26
38,39
29,25
30,38
26,30
36,32
29,21
21,25
22,39
38,25
34,35
36,40
34,29
28,25
34,29
45,46
46,41
50,48
48,47
45,44
48,49
48,49
50,44
42,46
49,47
48,44
43,44
45,50
47,45
46,43
44,43
48,50
45,47
49,50
50,45
44,43
49,42
42,48
45,47
50,47
43,44
46,49
44,48
43,41
43,49
41,50
42,48
45,47
42,44
41,45
45,46
50,44
41,42
47,44
42,50
43,44
45,42
45,47
42,50
46,45
42,49
44,47
42,43
46,50
47,48
43,41
49,42
50,45
48,44
41,42
41,42
46,47
46,45
42,49
49,43
44,47
45,50
44,45
