41,70,3
41,25,1
11,27,7
11,82,10
91,38,5
21,79,3
5,53,1
8,91,1
56,70,7
35,65,5
34,92,2
2,6,4
20,65,6
97,30,6
52,1,9
93,64,1
5,55,8
82,52,2
3,51,7
4,90,5
1,90,6
26,23,5
73,36,3
89,55,9
77,6,3
35,75,4
81,67,6
56,36,4
69,31,9
66,32,4
34,28,2
50,55,1
73,82,9
33,12,4
49,92,1
57,86,2
58,85,10
28,95,9
41,7,2
95,57,9
7,21,4
73,8,10
8,65,7
6,58,4
41,73,6
65,14,9
77,46,7
45,69,8
22,87,10
19,33,8
63,82,5
16,27,8
61,67,10
7,47,5
90,49,2
39,18,6
70,86,3
88,19,5
70,53,10
31,85,6
21,66,6
66,13,7
60,89,4
35,7,9
27,64,6
96,90,9
57,72,1
84,19,3
75,82,5
79,38,2
20,22,7
24,66,2
93,20,2
77,99,7
10,6,7
43,82,10
69,37,7
60,76,9
50,46,8
100,28,5
6,21,10
64,92,5
100,47,10
91,40,10
60,93,9
67,64,1
78,29,1
55,18,10
80,60,1
37,18,6
22,16,4
51,76,10
65,80,10
12,94,1
79,15,4
15,36,10
62,74,8
9,97,9
84,32,3
40,10,5
72,20,10
21,29,5
8,83,8
67,50,8
24,28,9
44,6,2
44,73,3
68,87,8
62,28,8
73,77,1
32,97,5
86,53,4
92,48,5
46,25,5
68,12,7
49,66,7
36,37,4
65,55,9
90,50,7
29,49,4
29,45,5
85,13,1
26,72,5
94,44,8
59,52,2
77,88,6
51,24,8
95,78,7
93,62,4
35,48,10
74,48,6
50,59,8
44,37,1
71,4,5
34,57,3
52,96,3
74,72,6
47,55,6
12,25,10
57,32,7
98,36,3
53,65,1
100,94,10
62,35,8
8,56,3
66,28,9
95,98,1
95,61,8
7,4,10
82,6,8
18,65,3
56,23,10
70,94,4
55,61,3
68,64,10
8,54,9
47,36,7
41,83,9
56,77,6
11,34,5
75,29,6
48,88,1
75,38,3
30,82,1
45,34,9
88,23,10
44,67,1
7,25,9
61,95,8
77,80,5
68,23,6
94,73,10
63,81,7
59,35,7
79,50,8
97,37,5
13,100,2
89,4,1
81,100,2
43,48,3
5,89,5
12,11,10
65,43,10
21,61,1
28,66,4
65,79,10
49,37,5
78,4,6
85,9,6
88,67,3
47,43,2
75,13,6
26,1,4
13,35,6
51,94,6
83,80,2
88,75,1
47,11,7
73,25,5
97,17,1
21,70,7
6,44,7
93,35,4
83,60,6
26,64,6
1,98,3
70,59,7
33,98,8
42,94,6
48,76,10
49,50,5
3,43,9
10,55,1
55,59,4
37,96,1
80,92,7
18,23,1
2,21,7
2,75,1
29,91,10
99,54,9
35,17,10
61,27,5
99,31,10
33,20,6
49,17,7
75,52,9
26,2,3
13,83,1
41,33,10
22,11,9
24,18,8
92,32,7
66,59,1
27,62,10
75,73,8
88,36,4
11,1,9
13,31,6
29,59,2
40,15,5
99,62,3
28,51,2
83,2,2
57,100,5
26,57,6
39,67,6
43,40,7
64,96,1
87,41,9
59,69,6
9,60,4
77,86,4
34,92,4
96,71,4
51,50,6
16,5,5
8,85,8
71,10,2
3,79,9
72,35,7
66,12,9
19,4,7
83,7,1
78,17,6
93,94,1
73,32,4
75,78,8
31,77,5
98,26,9
86,29,8
19,83,3
39,8,2
13,32,2
80,14,4
59,68,1
30,42,6
56,29,2
14,5,1
6,16,2
37,13,10
31,3,8
90,33,8
41,71,1
20,2,8
60,48,7
62,73,10
80,42,8
3,89,6
43,37,4
18,57,6
97,27,7
26,17,8
90,24,7
18,43,8
87,72,4
73,52,2
100,94,2
11,62,2
42,30,7
13,100,7
14,98,4
20,37,4
72,47,6
93,71,7
80,34,8
65,42,7
26,36,6
47,34,8
44,60,5
82,85,1
79,63,6
42,75,3
34,65,1
82,58,2
17,10,1
9,83,1
27,86,1
33,61,8
90,3,10
42,36,6
51,73,10
87,33,2
84,59,10
21,50,4
78,10,10
45,25,9
63,51,10
5,25,8
92,52,8
12,60,5
64,47,8
12,59,8
24,75,9
36,56,10
78,60,1
8,93,2
32,38,1
78,19,6
46,10,2
88,18,7
60,65,8
76,78,3
10,84,6
75,89,7
59,76,8
28,17,7
26,73,5
83,39,9
35,20,5
67,1,6
51,85,2
44,94,2
59,79,10
29,8,2
95,69,3
32,81,2
38,49,3
20,96,6
22,25,10
30,50,2
65,58,9
25,93,7
98,58,6
28,39,6
92,26,9
18,48,9
4,60,1
22,60,2
56,86,2
9,4,9
35,90,2
78,36,10
19,96,3
13,79,2
29,25,5
72,79,4
54,98,8
2,85,4
32,89,8
67,36,10
57,15,6
64,60,1
11,84,5
75,45,9
4,55,3
19,1,1
87,52,1
72,81,10
51,5,9
66,33,6
10,61,6
48,67,1
17,37,1
26,43,10
100,39,5
81,40,3
73,99,7
98,97,4
71,24,7
88,6,3
2,88,6
23,56,2
56,81,9
90,29,4
69,48,7
82,25,2
76,51,9
86,23,6
91,24,2
49,24,8
58,42,5
25,11,5
62,24,1
55,89,7
39,9,9
18,88,5
57,8,6
64,27,9
82,52,9
70,27,7
56,65,1
37,93,2
52,7,9
24,94,7
5,12,5
6,62,7
29,57,6
17,25,3
4,80,7
82,68,5
79,75,4
9,35,10
66,78,4
23,64,9
25,37,3
5,4,9
63,62,7
34,62,6
34,31,9
61,77,6
81,95,8
14,51,9
51,70,10
7,85,7
93,17,5
20,90,7
49,8,8
41,60,1
37,80,9
86,91,2
62,25,6
71,72,6
5,91,4
16,89,3
51,3,2
95,21,4
34,15,2
37,70,6
31,14,10
16,25,5
7,57,8
47,70,3
14,98,8
53,41,2
3,97,1
100,53,7
40,1,5
15,17,7
21,12,5
41,80,3
65,87,6
13,49,7
35,14,7
83,65,2
87,56,4
96,93,9
44,38,5
39,95,6
30,15,3
61,13,7
48,74,7
33,21,10
15,8,3
89,23,4
45,43,7
98,81,7
93,28,6
65,97,2
27,99,8
3,47,6
94,28,7
77,52,3
45,21,4
22,57,10
44,53,4
58,84,4
9,83,10
99,46,6
71,68,2
74,42,10
83,74,4
29,83,1
25,91,2
29,21,2
25,80,4
49,35,3
67,63,9
62,64,2
39,60,2
30,64,2
78,58,3
72,54,2
86,87,8
58,52,4
46,8,6
94,37,2
24,28,3
35,84,8
45,27,7
19,40,8
45,59,5
74,77,4
32,94,3
87,86,7
93,11,3
19,25,4
82,13,3
11,65,5
98,44,10
100,15,6
99,74,3
33,50,8
83,4,5
4,71,4
56,27,7
10,75,5
15,96,8
42,11,8
70,13,5
42,33,10
58,35,6
27,48,10
48,6,8
83,51,7
39,50,5
50,3,2
24,42,2
75,64,10
66,64,7
98,94,8
90,4,10
51,71,5
61,24,3
48,91,7
80,26,5
46,82,8
71,13,2
84,65,2
72,63,10
10,12,5
30,22,3
39,45,9
71,67,3
88,56,6
80,84,2
84,48,9
46,61,1
49,23,9
86,62,5
85,2,3
29,37,3
29,92,5
71,86,1
19,14,4
49,64,8
71,35,5
73,100,10
32,85,1
34,53,8
23,98,1
65,37,2
88,54,4
64,53,10
13,31,6
48,71,5
14,2,5
9,79,5
9,92,10
34,36,8
61,54,1
57,42,6
36,6,1
9,32,9
75,22,7
25,34,6
96,79,6
46,9,10
34,35,10
49,10,7
48,46,7
97,91,3
85,13,9
50,62,4
68,76,2
58,23,5
88,5,4
9,24,6
14,34,5
59,21,2
100,2,5
24,8,2
25,92,5
1,39,3
70,29,5
34,77,1
56,44,1
1,70,2
47,89,5
29,58,1
34,15,5
69,22,4
72,11,3
87,98,10
34,90,8
4,7,5
2,29,2
2,97,7
85,14,9
61,78,1
17,93,2
30,6,9
76,44,2
96,12,6
28,78,4
96,74,8
62,98,9
61,57,7
24,20,8
88,14,6
83,45,2
4,66,5
51,24,7
83,29,5
8,11,4
25,60,10
10,72,5
28,3,8
92,39,10
58,46,2
7,94,5
20,28,4
21,79,7
71,91,1
64,7,7
21,30,7
25,61,4
73,27,7
30,59,6
19,81,5
8,61,4
35,89,9
9,56,4
87,25,2
47,95,8
66,81,5
65,100,8
65,20,9
5,73,9
86,85,1
83,20,3
6,58,5
95,2,9
18,56,9
88,27,3
37,67,5
95,36,1
49,56,8
56,48,8
22,19,2
78,23,7
68,80,10
22,89,1
86,40,1
2,82,8
21,45,6
16,49,6
87,57,3
4,91,3
68,65,3
55,23,5
7,17,1
10,89,1
2,25,2
44,71,7
36,37,6
36,12,7
62,10,1
97,35,8
67,51,1
60,70,6
31,10,6
1,4,10
16,88,2
94,96,10
4,9,6
33,59,7
26,37,3
43,79,7
33,6,8
6,77,4
37,54,2
66,47,6
27,69,1
1,71,1
22,94,8
81,28,2
23,5,6
21,86,2
52,4,2
5,74,1
45,46,3
41,7,4
43,7,8
68,5,9
3,66,1
47,74,1
32,67,9
91,64,3
5,88,4
83,26,10
26,7,2
27,98,9
44,3,4
91,18,6
20,80,7
84,60,8
27,40,2
72,60,9
92,2,6
35,71,3
28,26,6
91,19,8
14,99,3
11,36,5
34,93,5
97,57,6
95,90,8
25,78,2
53,97,8
7,39,7
73,88,9
34,79,2
99,81,10
18,14,6
17,32,1
26,78,1
68,53,9
17,51,10
67,75,9
2,62,2
47,44,3
92,57,7
11,13,3
36,97,1
36,32,4
31,79,8
100,4,6
65,59,3
